Volanschi N.,"Volanschi, Nic (18038683000)",Safe clone-based refactoring through stereotype identification and iso-generation,2012,10.1109/IWSC.2012.6227866,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864227695&doi=10.1109%2fIWSC.2012.6227866&partnerID=40&md5=6391c06bdaa86774ad210a96a2f46644
Kanemitsu T.; Higo Y.; Kusumoto S.,"Kanemitsu, Tomoko (42061591000); Higo, Yoshiki (7004831134); Kusumoto, Shinji (7102741360)",A visualization method of program dependency graph for identifying extract method opportunity,2011,10.1145/1984732.1984735,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959820791&doi=10.1145%2f1984732.1984735&partnerID=40&md5=134381f61339052de95056dbf3a84668
Charalampidou S.; Arvanitou E.-M.; Ampatzoglou A.; Avgeriou P.; Chatzigeorgiou A.; Stamelos I.,"Charalampidou, Sofia (56968008000); Arvanitou, Elvira-Maria (55209903200); Ampatzoglou, Apostolos (16027681600); Avgeriou, Paris (17343671200); Chatzigeorgiou, Alexander (6701702023); Stamelos, Ioannis (6604041235)",Structural quality metrics as indicators of the long method bad smell: An empirical study,2018,10.1109/SEAA.2018.00046,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057175684&doi=10.1109%2fSEAA.2018.00046&partnerID=40&md5=f6794a79a709178b1e9c2c7e709f3c44
,,"Proceedings of the European Conference on Pattern Languages of Programs 2020, EuroPLoP 2020",2020,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123040821&partnerID=40&md5=22aaaf27ad9f1f81f84812908e4d314c
Sch�fer M.; Verbaere M.; Ekman T.; De Moor O.,"Sch�fer, Max (26427858100); Verbaere, Mathieu (8375864800); Ekman, Torbj�rn (35606858400); De Moor, Oege (6603701751)",Stepping stones over the refactoring rubicon lightweight language extensions to easily realise refactorings,2009,10.1007/978-3-642-03013-0_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69949175649&doi=10.1007%2f978-3-642-03013-0_17&partnerID=40&md5=fd5ff37fa31eaf08510a302a670c2895
Tiwari O.; Joshi R.K.,"Tiwari, Omkarendra (57216156458); Joshi, Rushikesh K. (7202085331)",Identifying extract method refactorings,2022,10.1145/3511430.3511435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125630484&doi=10.1145%2f3511430.3511435&partnerID=40&md5=d0be7783bf4964e5f312c98e0c601b20
Goto A.; Choi E.; Inoue K.; Yoshida N.; Fujiwara K.,"Goto, Akira (35271497400); Choi, Eunjong (41561025900); Inoue, Katsuro (7601540520); Yoshida, Norihiro (36176694200); Fujiwara, Kenji (55537663400)",An investigation into the characteristics of methods for extract method refactoring,2014,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907152774&partnerID=40&md5=433849b7872955ae14845a509911a5ad
Higo Y.; Kamiya T.; Kusumoto S.; Inoue K.,"Higo, Yoshiki (7004831134); Kamiya, Toshihiro (56218821800); Kusumoto, Shinji (7102741360); Inoue, Katsuro (7601540520)",Refactoring support based on code clone analysis,2004,10.1007/978-3-540-24659-6_16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35048850423&doi=10.1007%2f978-3-540-24659-6_16&partnerID=40&md5=221179867a4291e19cbe4af84a4ada0a
Antezana A.S.,"Antezana, Alejandra Siles (57210918453)",TOAD: A tool for recommending auto-refactoring alternatives,2019,10.1109/ICSE-Companion.2019.00071,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071859572&doi=10.1109%2fICSE-Companion.2019.00071&partnerID=40&md5=7a9e86268fca10d7dd90097397800049
Haas R.; Hummel B.,"Haas, Roman (57210639052); Hummel, Benjamin (25521823200)",Deriving extract method refactoring suggestions for long methods,2016,10.1007/978-3-319-27033-3_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952683977&doi=10.1007%2f978-3-319-27033-3_10&partnerID=40&md5=753ff8d83afc7a3db459558342d8bb30
Charalampidou S.; Ampatzoglou A.; Chatzigeorgiou A.; Gkortzis A.; Avgeriou P.,"Charalampidou, Sofia (56968008000); Ampatzoglou, Apostolos (16027681600); Chatzigeorgiou, Alexander (6701702023); Gkortzis, Antonios (55510241100); Avgeriou, Paris (17343671200)",Identifying Extract Method Refactoring Opportunities Based on Functional Relevance,2017,10.1109/TSE.2016.2645572,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029857527&doi=10.1109%2fTSE.2016.2645572&partnerID=40&md5=a76282b2d67c7251b264cf84ad944a1f
Sommerlad P.; Stocker M.,"Sommerlad, Peter (9636589700); Stocker, Mirko (24071890300)",Fifth Workshop on Refactoring Tools (WRT 2012),2012,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864680991&partnerID=40&md5=0d50746d5eafb3d46c7f86015140b5f8
Kaya M.; Fawcett J.W.,"Kaya, Mehmet (55515553000); Fawcett, James W. (15834588000)",Identification of Extract Method Refactoring Opportunities through Analysis of Variable Declarations and Uses,2017,10.1142/S0218194017500036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996844599&doi=10.1142%2fS0218194017500036&partnerID=40&md5=fe5f0b95ea821063a284d6a00ca04de5
Bashir R.S.; Lee S.P.; Yung C.C.; Alam K.A.; Ahmad R.W.,"Bashir, Raja Sehrab (57189758390); Lee, Sai Peck (7601407331); Yung, Chong Chun (57215289534); Alam, Khubaib Amjad (56504833200); Ahmad, Raja Wasim (56486885900)",A Methodology for Impact Evaluation of Refactoring on External Quality Attributes of a Software Design,2017,10.1109/FIT.2017.00040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049253365&doi=10.1109%2fFIT.2017.00040&partnerID=40&md5=f5c41c647f4f482f8ad54ab3648e6051
,,"Proceedings of the 5th Workshop on Refactoring Tools, WRT'12",2012,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864991181&partnerID=40&md5=79d396e747c2f717552f324bf8a10baf
Dig D.; Fuhrer R.M.; Johnson R.,"Dig, Danny (13404654100); Fuhrer, Robert M. (7005898672); Johnson, Ralph (35577606500)",The 2nd workshop on refactoring tools (WRT'08),2008,10.1145/1449814.1449885,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63349103864&doi=10.1145%2f1449814.1449885&partnerID=40&md5=bb90d91df437cace52ce59c8503185cb
Mahmoudi M.; Nadi S.; Tsantalis N.,"Mahmoudi, Mehran (57203416736); Nadi, Sarah (36025717300); Tsantalis, Nikolaos (8839792600)",Are Refactorings to Blame? An Empirical Study of Refactorings in Merge Conflicts,2019,10.1109/SANER.2019.8668012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064160319&doi=10.1109%2fSANER.2019.8668012&partnerID=40&md5=73301675379e773d81a369eed6ca3d43
Fuhrer R.M.; Opdyke W.F.,"Fuhrer, Robert M. (7005898672); Opdyke, William F. (6603499634)",The 3rd ACM workshop on refactoring tools (WRT'09),2009,10.1145/1639950.1639980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72249108016&doi=10.1145%2f1639950.1639980&partnerID=40&md5=eb52753228111df485494bf63be47597
Fornaia A.; Tramontana E.,"Fornaia, Andrea (55926035500); Tramontana, Emiliano (6506100247)",Assisting Replace Method with Method Object: Selecting Fields and Preserving Data Access,2018,10.1109/COMPSAC.2018.10293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055561832&doi=10.1109%2fCOMPSAC.2018.10293&partnerID=40&md5=308b8b3b88959464635293676af1b687
Juillerat N.; Hirsbrunner B.,"Juillerat, Nicolas (24824615300); Hirsbrunner, B�at (6603461858)",Food: An intermediate model for automated refactoring,2006,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860289208&partnerID=40&md5=af3469ab7dc166280cd305e8673eeef9
Oizumi W.; Bibiano A.C.; Cedrim D.; Oliveira A.; Sousa L.; Garcia A.; Oliveira D.,"Oizumi, Willian (55515918200); Bibiano, Ana C. (57202890121); Cedrim, Diego (57194528845); Oliveira, Anderson (56851872700); Sousa, Leonardo (57194212913); Garcia, Alessandro (7404608626); Oliveira, Daniel (57211276861)",Recommending Composite Refactorings for Smell Removal: Heuristics and Evaluation,2020,10.1145/3422392.3422423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099349669&doi=10.1145%2f3422392.3422423&partnerID=40&md5=a790bf43d1ef6ff85dde32c6515d1663
,,"4th Workshop on Refactoring Tools, WRT 2011, Co-located with ICSE 2011 - Proceedings",2011,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959813176&partnerID=40&md5=0c925cf9f5e3a1cf0566fae53cc9b99e
Saborido R.; Ferrer J.; Chicano F.; Alba E.,"Saborido, Ruben (56235977700); Ferrer, Javier (7202496933); Chicano, Francisco (19638250500); Alba, Enrique (7007101440)",Automatizing Software Cognitive Complexity Reduction,2022,10.1109/ACCESS.2022.3144743,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123363408&doi=10.1109%2fACCESS.2022.3144743&partnerID=40&md5=fc6461b147edf816cdae5e2ef0e79575
Liu W.; Liu H.,"Liu, Wenmei (57190165911); Liu, Hui (56862404100)",Major motivations for extract method refactorings: analysis based on interviews and change histories,2016,10.1007/s11704-016-5131-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978175718&doi=10.1007%2fs11704-016-5131-4&partnerID=40&md5=d1de2566e06bb786e7d197140c33ca52
Taqui A.M.; Alcocer J.P.S.; Hecht G.; Bergel A.,"Taqui, Abel Mamani (57278664800); Alcocer, Juan Pablo Sandoval (57218705105); Hecht, Geoffrey (56735908100); Bergel, Alexandre (23093070700)",Quality Histories of Past Extract Method Refactorings,2021,10.1007/978-3-030-87007-2_24,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116009022&doi=10.1007%2f978-3-030-87007-2_24&partnerID=40&md5=0c9c8bcdd40b3f32b84ec00899e179f5
